Duygu,Yorum
1,aynen arabayi satip almayi dusunuyorum
0,steve jobs depresyona girmistir materyalist insan olmamak icin evindeki tum elektronik esyalari kaldirmistir
1,steve jobs mutavazi adamdi son yillarini hayatin anlamini aramak icin gecirdi
0,uzaktan daha guzel yuzden almak mantikli degil
0,uzatma
1,ucuz
1,fiyati iyi dimi oguz alinir yani
1,mustafa guldurdun bni
1,abi kiralsiniz tsk
1,ios zaman
1,sa
0,iphone yerine iphone slx deseydiler daha iyi olurdu
0,kullaniyorum farki yok sanirsam kamera dikey
1,hayirlisi olsun
1,telefon kendini gosteriyor teknosa fiyat uca biraz vergiler falan parasi olan alir diyeyim
1,dikkat
1,banada al
0,bobrek daha gitti organ yetmezliginden olduk
1,eyv
1,harika
1,kolay gelsin
0,face guvenlik sifir foto koy telefon acilsin olmamis bence
1,supermis
1,fiyat
0,usta gel senin pasaportu isletek turkiyeden alinmaz
0,vay beee yuzyilin yeni icati bulundu helal olsun
0,ios gelmiyo hala
1,baya iyi
1,pil kac amper
1,senin tahminin nedir fiyat olarak
1,yine milyonlarca adet satar
1,eskisini verince yenisinin fiyatindan dusiyleemi
1,ankara selamlar
1,antalya selamlar
1,kars selamlar
1,kayseri selamlar
1,bence note cihazlardan daha iyi bence
1,kasimi beklicez anlasildi
0,bobrekle takas olur
1,abi sen zaman alacan ya
1,adamlar sene onden gidiyor nedirya
1,anil temuz kasimi bekleyecekmisiz
0,plaslar hep sorunluu bakalim yenileri nasil cikacak
0,yazik paraya
1,v iyisi
0,yok
1,ios guncelleme zaman
0,cikmadan niye geliyon abi
1,tesekkurler guzel insan
1,daha goster
0,abi hani tus yoktu
1,foto kalitesi
0,olmaz imkan yok
1,karaman selam abi seviliyorsunuz emeginize saglik
1,bin liraya toplarim telefon ne
1,hizli sarj var
0,inceleme zaman gelir
1,reis farki teknik olarak nedir
1,abi apple watch seri fiyati kadar olcak bilgi verirmisin
0,almayin pahali olursa
1,hizli sarj var
0,neden yeni ipad cikmadi
0,abi orkun isitmak ordami
0,turkiye plus bin lira olacakmis
0,watch sanal sim calismamasi kotu olmus
0,kulakligi aldigim fiyat kadar para istiyorlar tamiri icin sizin ayipli maliniza verecek tlm daha yok kusura bakmayin davaci olucam gerekirse
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,insanlari guzel kandiriyorsunuz asus marka notebook aldim asusla gorusmem gerekiyomus bak simdi zaman neden siz satiyorsunuz sizden aldiysam siz duseceksiniz pesine basinizdan atamazsiniz
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,urunu pazardan yerine gidip buradan aliyoruz sattigi urunun arkasindalar diye yok boyle bisi sadece satip elinizdeki parayi alip sizi utuyolar insallah yerin dibine girip batarsiniz
0,ne diyelim ozur ama saygisiz seviyesiz mugla teknosa calisani hakkinda kucuk islem ceza yok ben vazgectim artik teknosa
0,teknosa daha alisveris yapmak asla duyarsiz musteri hizmetleri satis sonrasi musteri memnuniyeti yok bin lira para verip telefon aldim kaliteli kirilmaz ekran diye sattiklari urun kucuk isi degisiminde nemlenme yapmakta dokunmatik ekran calismamakta urun satisi yapilirken hersey iyi ama satis sonrasinda gun gectigi icin konu hakkinda yardimci olamiyoruz guzel ders oldu ilk son alisverisim
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,samsung urunlerinde youtube kaldirdiniz cagri merkezindeki arkadasta degisme zamani gelmis diyor iyi ozaman zahmet degistirin bakalim kesinlikle alisveris yapmayin
0,teknosa teknosa preo marka reeder servis kapsaminda telefon aldim almaz olaydim teknosadan kendi ismini tasidigi telefonla ben ilgileniyorum sonucada varmis degilim aylik telefon inci servise gonderdim telefonun kasasinin heryeri catladi pilinde erime akma oldu servise gonderdim servis ucreti istedi reeder simdi teli gondermiyor servis ucreti odeyin oyle gondercez diyor nicin dedigimde cihaz kontrol ucretiymis allah rizasi icin ilgileniver telin arkasinda senin ismin var ilgilenmiceksen teli satma teknosa
1,sevenlerindende size selaamolsun
0,hafta once telefon aldim teknosa reeder marka burdan markasini ozellikle yaziyorum haftadir karsida konusamiyorum ses gitmiyor kablosuz kabul etmiyor evde ceken telefonum cekmiyor ekran surekli karariyor daha yazayim bilmiyorum satarken yagla balla antalya ozdilek teknosa sube yaziklar olsun sizden baska satan yok markayi kilif bile bulamadim nerde kaldi sizin durustluk ilkeniz servise goturdum hic servis agi sifir bile degil eksilerde bunu butun mecralar yayinlayacagim sikayetlerimi yapacagim onemli olan urun satmak degil urunun arkasinda durmaktir eminim bunu gormezden geleceksiniz geriye almadiginiz gibi tekrar asla ama asla urun alirim aldiririm
1,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
0,vestel iyi degil kalitesizde numaralar bozuklur elinde kalir
1,bu tli minareci yavuz baysal sorun
0,htc kopya cekmis ama becerememis
0,sony compact marka urunumu garanti kapsaminda firmaniza verdim fakat kullanici kaynakli ariza oldugu icin tarafimdan ucret taleb edildi durumu teknosaya bildirdim fakat her bildirimimde biz saticiyiz konuyu servisle yada sony firmasi gorusun seklinde uyarida bulunuldu cihazin temasi olmadi yere dusurmedim internetten ariza sebebini arastirdim sony serisinde ayni arizayi genel olarak verdigini ogrendim isinize geldigi zaman musteri memnuniyeti alaki anket yapiyorsunuz urunlerimizden memnun kaldinizmi diyosrsunuz urun ariza verdigi zaman biz saticiyiz servisle yada sony gorusun diyorsunuz ben urunu sizden aldim servisten almadim sony almadim simdi sunu acikca soyluyorum ben telefondan vazgectim yaptirmicam servisten isticem servisten aldigim gun adana optimum teknosanin onunde iracam bunuda videoya cekip youtube atacam bunu size yapacagimi soyluyorum bunu yapinca sanmayinki sony kaybedecek kvk kaybedecek teknosa kaybedecek simdi beni burdan engelliceksiniz yorumu belkide sileceksiniz ama sadece buraya yazmicam bunuda bilin
1,senin telefonun daha guzel
0,begenmedim ama
0,onu kullanabilmen icin yollar var
1,fiyat ses kalitesine bagli olarak kesinlikle alinabilir kulaklik gibi duruyor d
0,samsung alin kolay gegisiyor bataryasi arka kapagini acip degistirebiliyosun
1,daha once degistimde oyle bisey goremedim yaninmda degisti hemde
0,adam batarya degisimi diyor ekran nerde batarya nerde
1,hasan oflaz abi adam sana benziooo
1,diger markalara istinaden pixel iyi fotograf cekebiliyor fuarda kiyasladik
0,allah belasini versin zehir olsun verdigim para kurusuna kadar
0,aylik tlf para istiyorlar
1,saglikli nice yillar
0,almayin
1,helel olsun
1,ben her urununu kullaniyorum harika memnunum hem kaliteli hemde uygun
1,vestel iyi marka
1,helal olsun vestel
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
1,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
1,cercevesiz ekran iyi her telefon bunu soyleyip duruyosunuz elimiz ekrana deyip durucak devamli kullanmadigim icin soruyorum kotulemek icin degil
1,efsane pil omru olur bunun
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,teknosa rezillik tam anlamiyla insanlari madur edip birde utanmadan evet biraz sizide madur ettik diyebilecek kadar yuzsuzler uruni bekletip sonunda cizik kullanilmis urun getirip efendim bunu zaten size veremeyiz diyecek kadar acizler
1,bunu nasil satin alabilirim bana yardim edin xiaomi cihazim
1,s icin uyumlu veya bunun gibi kablosuz oyun konsoluvarmidir
0,galaxy icin uyumlumu acaba
1,bu urun suan satistami eger satistaysa ismi ne
1,telefona ozel bisey bu
0,abi samsung andan itibaren benim icin bitmistir daha davosa gelmem
1,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
0,bos konusuyorsun teknoloji cahili seni apple sican telefon yapsa onu tek gecerim dersiniz
0,pahalidir
0,gecen hafta pazartesi siparis verdigim nolu siparisim hala tedarik ediliyor teknosa com alisveris yapmayin
1,air pods tek gecerim sony yarista coktan geri kaldi
0,airpods gore kaba buyuk rakip olamaz bence
1,severek izliyoz
1,onlar ozel cekim resimler
1,yayin nerde
1,gelecek
1,guzeldi kolay gelsin
1,diger markalar varmi
1,gec kaldim galiba d
1,iyi vuruyor bas
0,hangi parayla alalim kardesim pahali bize
1,abi konuyla alakasiz birazda basini kacirdim streo hoparlor var
0,bunu daha once izlemistim
1,sj her modele uygunsa alinir kacmaz
1,dolby atmos her modele uygunsa alinir kacmaz
0,tuketim degerleri nedir benim icin onemlidir
1,hello turkish people from afghanistan
0,arkadaki insanlar canli yayin gormediler
0,arkadaki cocuklar yapiyor
1,lg gercekten her urunde harika
1,signature serisi dolby atmos var iceride
1,lg asmis kendini harika dogrusu
1,kulaklik varmi yeni bluetooth falan
0,orda porno izleniyo
0,aski aparati tarihe gomulur yakinda yapistiralim duvarlara
1,oda bin vardir
1,abi televizyon fiyatlari civarda
0,lg iflas degil batirmislar turkler satin alinca oyle diolar
1,kolay gelsin
0,lg almayin ben aldim pisman oldum
0,abi adamlarin turkiye ofisleri bile yok
1,kamera kac pixel
1,v arasindaki farklilik nedir
1,su gecirmezmi
1,vision telefonlarada gelmis
1,tesekkur ederim
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,bence siz ince telefonlara alistiginiz icin kalin geliyor bence normal benim elime tam oturuyor sikinti degil ama sony bozdu telefonlari cacik oda ayri konu lira verdim telefona tirnak makasi daha iyi cekiyor fotografi
0,preo cihaz aldim sene sonra ekrani once mavi oldu sonra tamamen gitti teknosa erzurumda kapandigi icin telefon yanima kardes kaldi
1,o zaman sana lenovo tavsiye edeyim samsung daha iyi desem yalan olmaz sanirim
0,icini degistiriyorlar sadece disinda ayni telefon
1,var tabiki
1,slmmmmmmmm
1,kolay glsinn
1,o ses sistemi kalp soku aletine benziyordu hocalar d
1,selam
1,zaman gelcek
1,rica ederim
1,bayraminiz mubarek olsun hakki reyiz
1,merhaba
0,ay sonunda cekilis yapilacakti neden yapilmadi
1,mutlu bayramlar
1,selam iyi aksamlar ilgiyle izliyorum
1,piyasaya zaman cikacak compact
1,yayin gitti
1,donanim arsivi
1,yine mehmet deme hocam yillardir takibinizdeyim sayenizde bilgi edindik allah razi olsun
1,tesekkur ederim teknosa telefon aldim iyi cikti bol kazanclar casper
1,aynen
0,ps varken xbox aq
1,aynennnnn
1,aynen xd
0,ekran sallaniyor
1,teknosa nakit kartim var karsiliginda teknosa subelerinde bulusarak isteyen arkadasa verebilirim iyi alisversler
1,teknosa nakit kartimi satiyorum ilgilenen arkadaslar yazabilir elden teknosa subelerine getirebilirim
0,bb
1,lg
1,tab gosterir misiniz
1,ahmet ozbal islemci macunu yenile
1,bilgusayar kasasi varmi
1,powerbank var
0,pahali
0,tabletler tutulmuyo
0,not uretimden kalkiyor
1,s kadar abi
0,xz bakarmisin
0,samsung calisaniyim tvds serisinden vazgecmeyin
1,j pro kardesim
1,laptop alicam fiyat lazim
1,bakarmisiniz
1,slm
1,once baska subenizden telefon satin aldim eve gelince merak ettim faturadaki imei cihazdaki imei karsilastirdim ikiside farkli nasil mumkun olabilir tarafiniza garantiyi etkilermi diye email attim geri donen oldu bilgi veren birdaha alisveris yaparmiyim dusunmem lazim acikcasi urunu satmak kadar arkasinda durmakta onemli konu
1,guzele benziyor
1,nasil yer
1,merhaba belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
0,almaya calisiyorum islemi kabul etmiyor amaciniz ney sizin siparisi neden onaylayamiyorum secure kodunu girmiyor hata olustu diyor
1,en yeni teknoloji haberleri tekno ayricaligi sizlerle guncel haberleri arastiriyoruz ayrica eglenceli sayfamiz var davetlisiniz
1,guzel icecek kis olsa daha guzel olurdu
0,kayseri form teknosa sakin urun almayin ilgi mali satana kadar beni yaktilar sizlerde yanmayin
1,lg mukemmel
0,vallahi hicye oule degilsiniz yakan yanlis bilgi vererek insanlara urun satmayinnnn hakkiniz olan parayi alin tamammiyle politikasi yaoiyorsunuz
0,teknosa alis veris yapmayin derim sattiklari urunun arkasinda durmuyorlar netten alin
1,xiaomi nasil var teknosada
1,tesekkurler
1,hakki abi zaman canli yayin yapicaksin
1,hakki abi pro var
1,abi sel mun aleykum pro icin bilgi verirmisin
0,neden yazdiklarimi dikkate almiyor sunnnn
1,j prime alinirmi abi nasil iyi telefon
0,hocam meaengerdan ulasamadim
1,note fiyati olacak
1,hakki abi teknosa xiaomi telefonlari getirmeye basladi e bakar misin
1,bence mause alirsan logitech al
1,nikon profesyonel kamera goster ustat
1,p begenme sebebin nedir abi
0,hangi telefonla yayin yapiyon abi
0,arkadaslar teknosa sakin sey almayin satigi hic urunun arkasinda durmuyor iste efendim ben saticiyim markayi arayin markayi ariyorsun servisi arayin servi ben orasini bilemem diyor benim canim yandi sizin yanmasin
0,arkadaslar teknosa sakin sey almayin satigi hic urunun arkasinda durmuyor iste efendim ben saticiyim markayi arayin markayi ariyorsun servisi arayin servi ben orasini bilemem diyor benim canim yandi sizin yanmasin
0,ya ssd diskler neden fiyatlari dusmuyor abi
0,bu laptop icin fiyat fazla
0,fiyatlar ucmus
1,c pro kdr
0,hakki bey tablet yardimci olurmusunuz
1,s alinirmi abi sence
1,p lite super serdar
1,lenovo note bak
1,s kadar abi
1,p lite hakkinda fikriniz nedir
1,rica ederim necati hocam maddi durum kisitliysa general mobile plus oneririm siddetle
1,s kadar abi
1,yorumlari okuu
0,fiyatlar pahali biraz indirin
0,vestel venus cop arkadaslar google play anlasmasi yok
0,beytullah vestel sarj kamera konusunda basarisiz
1,telefonlara taksit varmi
1,ben ugradim gecenlerde teknosaya bnim ufakliga elbise aldik
1,htc incelesek
1,s kadar bi
0,vestel islemci yeterli degil hatta ye
1,selamlar
0,oda alinmaz
0,bnde preo kullaniyorum batarya kapasitesi kinden daha fazla rahatlikla gunumu idare edebiliyor degisen sey sadece cift kamerasi olup arayuz degistilimis batarya kapasitesi dusmus
1,magzanizda asus zenfone live kilifi varmi
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,teknosadan samsung telefon aldim yil icerisinde defa servise gitti aydir telefon kayit disi kacak telefon satiyor herhalde kapanma sebebi kayit disi diyor btk
0,bu oyunlari yuklemek icin baska yol yokmu kardesim online veya oyun almakmi gerekiyor yardimci olursaniz sevinirim
0,kere gitti garantiye lcd hatdisk degisti tekrar yandi hatdisk
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
1,sakip sabancinin nuru sad olsun allah rahmet eylesin iyki tekno kurmus allah razi olsun
1,oneriyom sjajs
1,sayenizde gta oynuyorum tesekkur
0,ses yok
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,orada oyun yok deseniz yeridir
1,alinan samsung kulaklik kingtir d
1,huawei lite
0,telefonun samsung oldugu belli odak kaciriyor surekli
0,telefon aldim tablet aldim gecmeden ariza yapti teknosa garantiye gonderdi kullanici hatasi yalaniyla geri gonderdiler
0,htc gelsin artik teknosaya
1,xiaomi varmi
1,vestel onnmura
1,geldi
1,var
1,geliyor
0,ses gidiyo
1,merhaba belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
1,almak istiyorum kargo imkani varmi fiyat kadar
1,gayet basarili
1,isitici kazim afyon donuyor
1,klavyemi olur
0,bu klavyemi olur
0,sony fiyatlara
0,ohhh vantilator sevdigim
1,kolay gelsin abi
1,j prime bakarmisin abi
1,sanal gerceklik gozlukler
1,j prime bakarmisiniz fiyati kadar biraz bahsedermisiniz
1,j prime bakarmisin fiyatlari kadar bahsedermisiniz
1,j prime bakarmisin fiyati kadar biraz bahsedermisiniz
1,a bakasana biiiiii
1,simar iskender bugun almaliyiz ucuz
1,simar iskender haykiriyom qwe wqe wqe
1,abi bakarmisin
1,j prime kullanislimi
1,abi prime bakarmisin
0,oyun bilgisayari
1,vestel olsun yeter
1,philips vazgecmem
0,bu mall istanbul subesi degil
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
1,thanks you
0,cogu bukulmuyor
0,musteri memnuniyetsizligi tavan yapmis kurum teknosa adinizi soyadinizi telefonunuzu yazin hemen sizi arasinlar ama sorunu cozmek icin degil sizinle dalga gecmek icin tek no sa
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,burak sen saat cokmu uzun kardes kafayimi yedin
0,tomb raider cakmasi
1,saate yakin oynanis suresi var neresi kisa
1,nathanim drakem yok
1,nathan umarim vardir
0,teknosa com kesinlikle uzak durun urunun akibeti hakkinda gun haber alamadim calisma prensipleri daha fazla piyasada kalabileceklerine ihtimal vermiyorum hergun kurumsal firma kargoya verilen urun nerede diye aranir cevap alinamaz evet alinamaz firma teknosa yazik yani kadar reklam bosa gidecek
0,magazanizdan urun aliyorum ayipli oldugu icin degisimi makul normal zamanda yapmiyor musteriye zaman kaybettirip oyalayici tavirlarin icine giriyorsunuz cunku aralik itibaren bekliyorum sonucu hakem heyeti karari yenisinin degisimi veya misliyle diye karar cikiyor ancak elinizde urun olmadigi icin veremiyorsunuz buraya kadar tamam mislinin fiyat farkini istiyorsunuz ben bunu kabul etmedigim icin bana kullanma bedeli kadar dusmus fiyati odemek istiyorsunuz bunun icinde beni aylardir bekletiyorsunuz elinizde urun yoksa sizin sorununuz musteri memnuniyetini gozetmeden empati uygulamadan kendinize gore karar alip bin pisman ediyorsunuz insani sizden alis veris yaptigina bunu kendinize yakistiriyor musunuz merak ettim
1,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
0,arkadaslar konu sony olunca farkli ama galiba eskidenmis sony urunleri artik iyi cikmiyor sony alirken kere dusunun artik samsung daha kaliteli teknosaya gelince aldigim hicbirsey kotu cikmadi belki yuzden malini arkasinda olup olmadigini bilmiyorum benim sansima urun aldim hatta led aldim sene oldu masallah birsey yok kotulemeyin bence teknosa yaziktir
0,daha onceden kac arkadasim sikinti cekmisti surda tane insandan iyi tarafinizi gormedim yorum olarak ayrica tebrikler
1,sadece inc azicik buyuk d
0,nikon aldim lensi arizali cikti kac kere servise gitti bundan sonra teknosadan kalem bile almam
0,hangi yayini izlicek millet para tuzagi hepsi yayin yok bikere
1,xd inc sony var arkadaslar pro cipsetti samsung alamayacaginiz goruntu veriyor full goruntusunu lik kalitesine cevirdigini gordukten sonra olay dedim dogal renk mukemmel ses kaliteden anlayan insanlarin kullanacagi markasi
0,bende samsung bulasik makinesi aldim servis beni dolandirdi teknosa bana yardimci olmadi yuzden kurus etmezsiniz
1,bayilerden urun alin derim
0,teknosa maalesef kurumsal firma degilsin sadece musterinin cebindeki parayi almayi ilke edinmissin sakip aga olsa yuzune tukururdu kadar insan neden bizden sikayetci diye
1,benimde vestel televizyon numara ama soyle bisey var vestel genellikle parcalari televizyon uretir
1,yok tesekkur ederim
